GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
860Z200US18239,ZCTA5 18239,0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X),0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),-,(X),(X),(X),0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,(X)
860Z200US18240,ZCTA5 18240,1469,183,1.9,2.8,3,3,10.6,6.4,8.2,6.4,21.6,9.1,21.9,8.2,18.4,7.4,9.1,5,3.7,3.3,1.7,2.4,56510,13677,65622,8562,49.1,(X),(X),(X),(X),(X),889,130,3.1,4.6,1.3,2.1,5.2,8.4,9.2,9.8,22,11.6,19.5,9,22.6,9.7,10.8,6.6,3.4,3.5,2.8,3.8,57634,16895,71148,12625,(X),(X),38.1,(X),(X),(X),604,125,0,4.8,2,3,0,4.8,9.4,13.7,17.4,11.2,18.5,10.1,28.6,13.2,14.9,9.4,5,5.5,4.1,5.6,75526,14511,N,N,(X),(X),(X),(X),(X),(X),580,178,0,5,5.5,7,26.7,14.8,7.2,6.1,25.9,15.6,14.8,9.6,9.1,9.8,6.6,9.7,4.1,6.4,0,5,45319,17644,49906,10643,(X),(X),(X),(X),53.3,(X)
860Z200US18241,ZCTA5 18241,175,75,5.7,7.6,0,15.7,10.3,11,9.7,9.6,5.1,6.2,22.9,17.1,16.6,15.7,29.7,22.4,0,15.7,0,15.7,71625,23215,72063,14416,54.3,(X),(X),(X),(X),(X),61,31,16.4,21.8,0,36.3,0,36.3,0,36.3,6.6,10.1,29.5,32.4,27.9,30.5,19.7,21.7,0,36.3,0,36.3,73750,33548,70089,19309,(X),(X),31.1,(X),(X),(X),29,24,34.5,41.1,0,52.9,0,52.9,0,52.9,13.8,23.2,10.3,28.9,0,52.9,41.4,41.8,0,52.9,0,52.9,-,**,N,N,(X),(X),(X),(X),(X),(X),114,68,0,22.9,0,22.9,15.8,16.4,14.9,15.5,4.4,7.9,19.3,19.5,10.5,13.4,35.1,32.2,0,22.9,0,22.9,71250,37145,73118,23075,(X),(X),(X),(X),66.7,(X)
860Z200US18242,ZCTA5 18242,179,151,10.6,15.3,0,15.4,2.8,5.4,2.2,3.7,10.6,15.9,1.1,2.2,0,15.4,7.8,11.5,63.1,40.8,1.7,4.2,160586,76350,121218,44192,81,(X),(X),(X),(X),(X),151,149,3.3,8.8,0,17.9,2,3.5,0,17.9,10.6,20,0,17.9,0,17.9,82.1,30.4,0,17.9,2,5.4,101139,513,93506,15515,(X),(X),21.2,(X),(X),(X),17,13,0,69.1,0,69.1,17.6,25.5,0,69.1,0,69.1,0,69.1,0,69.1,64.7,39.7,0,69.1,17.6,35,106719,22096,N,N,(X),(X),(X),(X),(X),(X),28,18,50,41.7,0,53.8,7.1,20.2,14.3,18.8,10.7,15.8,7.1,13.9,0,53.8,10.7,16.4,0,53.8,0,53.8,-,**,28243,25974,(X),(X),(X),(X),0,(X)
860Z200US18244,ZCTA5 18244,116,36,3.4,4.2,6.9,11.3,12.9,9.8,4.3,7.4,1.7,3,24.1,14.1,26.7,16.4,12.1,11.2,4.3,5.6,3.4,4.6,66667,15295,72947,16772,50.9,(X),(X),(X),(X),(X),82,27,0,29.7,0,29.7,8.5,10.4,6.1,10.5,2.4,4.2,30.5,18.4,26.8,20.8,14.6,14.8,6.1,8,4.9,6.8,75357,16544,85791,17465,(X),(X),48.8,(X),(X),(X),54,22,0,38.8,0,38.8,0,38.8,0,38.8,3.7,6.5,42.6,26.6,31.5,26.1,9.3,10.9,9.3,12.3,3.7,7.1,75556,15416,N,N,(X),(X),(X),(X),(X),(X),34,23,11.8,14.2,23.5,33.7,23.5,26.2,0,48.9,0,48.9,8.8,18.5,32.4,26.1,0,48.9,0,48.9,0,48.9,-,**,39988,18847,(X),(X),(X),(X),55.9,(X)
860Z200US18245,ZCTA5 18245,125,78,0,21.1,0,21.1,0,21.1,26.4,34.3,38.4,37.6,35.2,29.9,0,21.1,0,21.1,0,21.1,0,21.1,44607,9678,48233,8741,23.2,(X),(X),(X),(X),(X),92,63,0,27.2,0,27.2,0,27.2,0,27.2,52.2,40.5,47.8,40.5,0,27.2,0,27.2,0,27.2,0,27.2,47115,23481,54428,8187,(X),(X),31.5,(X),(X),(X),92,63,0,27.2,0,27.2,0,27.2,0,27.2,52.2,40.5,47.8,40.5,0,27.2,0,27.2,0,27.2,0,27.2,47115,23481,N,N,(X),(X),(X),(X),(X),(X),33,50,0,49.6,0,49.6,0,49.6,100,49.6,0,49.6,0,49.6,0,49.6,0,49.6,0,49.6,0,49.6,-,**,N,N,(X),(X),(X),(X),0,(X)
860Z200US18246,ZCTA5 18246,42,32,0,44,0,44,11.9,23.1,0,44,0,44,0,44,14.3,27.4,0,44,73.8,37.9,0,44,158306,39081,132424,39046,33.3,(X),(X),(X),(X),(X),42,32,0,44,0,44,11.9,23.1,0,44,0,44,0,44,14.3,27.4,0,44,73.8,37.9,0,44,158306,39081,132424,39046,(X),(X),33.3,(X),(X),(X),42,32,0,44,0,44,11.9,23.1,0,44,0,44,0,44,14.3,27.4,0,44,73.8,37.9,0,44,158306,39081,N,N,(X),(X),(X),(X),(X),(X),0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,(X)
860Z200US18248,ZCTA5 18248,172,53,5.2,8.1,8.7,10.2,6.4,9.9,22.1,21.2,5.2,6.9,8.7,7.3,15.1,11.4,28.5,19.5,0,15.9,0,15.9,57778,48199,65127,19692,38.4,(X),(X),(X),(X),(X),109,54,16.5,16.6,0,23.7,0,23.7,20.2,27.5,0,23.7,13.8,12.5,21.1,16.1,28.4,24.5,0,23.7,0,23.7,72083,53194,69807,26145,(X),(X),34.9,(X),(X),(X),54,30,0,38.8,0,38.8,0,38.8,0,38.8,0,38.8,27.8,24,14.8,19.1,57.4,33.6,0,38.8,0,38.8,103269,43019,N,N,(X),(X),(X),(X),(X),(X),63,35,0,35.6,23.8,27.3,17.5,29.7,25.4,28,0,35.6,0,35.6,4.8,8.7,28.6,27.9,0,35.6,0,35.6,-,**,51233,24218,(X),(X),(X),(X),44.4,(X)
860Z200US18249,ZCTA5 18249,1589,168,1.1,1.3,0.8,1.2,6.2,3.7,8.5,6.7,8.1,3.5,10.6,3.4,16.6,4.6,21.5,5.3,13.6,4.9,13.1,4.5,95820,9101,133230,29301,45.3,(X),(X),(X),(X),(X),1225,134,1.4,1.6,0,2.4,1.8,1.7,4.2,5.2,7.8,3.7,11.5,4.3,17.3,5.3,24.6,5.7,18.2,6.2,13.1,5,102560,6481,150170,36649,(X),(X),48.7,(X),(X),(X),1119,135,0.8,1.4,0,2.6,1.3,1.5,4.6,5.7,6.3,3.7,9.5,3.8,17.8,5.8,26.7,6.3,18.6,6.6,14.4,5.6,106076,9461,N,N,(X),(X),(X),(X),(X),(X),364,139,0,7.9,3.3,5.7,23.4,15,22.8,20.9,6.6,6.4,15.1,11.4,14.3,11.5,6.9,6.7,0,7.9,7.7,7.2,36000,32957,68415,21739,(X),(X),(X),(X),33.8,(X)
860Z200US18250,ZCTA5 18250,1217,163,3,3.1,4.9,3.4,15.1,8.2,8.3,6.5,7.1,4.5,15.1,8,19.1,11.7,22.4,9.8,2.3,2.9,2.6,2.7,66685,22154,88338,31165,47.2,(X),(X),(X),(X),(X),648,109,0,4.5,4.6,5.1,25.2,12.5,0,4.5,8.5,8.8,17.7,10.9,26.2,17.3,11.3,6.9,4.3,5.5,2.2,2.8,64732,24025,72623,12324,(X),(X),40.1,(X),(X),(X),274,128,0,10.4,2.6,4.6,14.2,13.7,0,10.4,4,7,24.5,14.5,22.6,18,24.1,14.9,2.9,6.3,5.1,6.5,92917,39286,N,N,(X),(X),(X),(X),(X),(X),569,192,6.5,6.5,5.3,5.4,23.4,15.4,8.8,8,11.2,8,12.1,10.6,1.8,3.4,27.8,20.2,0,5.1,3.2,5.2,41172,18672,90626,62620,(X),(X),(X),(X),41.5,(X)
